Timestamp	Do you work in the climbing industry full time or part time?	How many years of experience do you have working in climbing?	How old are you?	What is your MAIN source of income within the climbing industry? 	What is your [hourly] salary in this PRIMARY position? [include currency-USD$___, etc]	What SECONDARY job do you make income from within the climbing industry?	What is your [hourly] salary in this SECONDARY position? [include currency-USD$___, etc]	What TERTIARY job do you make income from within the climbing industry?	What is your [hourly] salary in this TERTIARY position?	Where do you work? [Country/State/City] 	What is the minimum wage in the city/area where you work? 	Does your climbing job  provide you with medical  coverage?	Do you feel you are compensated  fairly for the work you do?	Have you experienced unsafe working conditions in  your time working in the climbing industry?	Have you experienced harassment, racism,  sexism, homophobia, transphobia, or any  other type of discrimination in the workplace?  Check yes to ALL that apply.	What is your  race?	What is your  gender?	Share any additional reflections or experiences working in the climbing industry [optional].
7/24/2020 9:29:31	Full Time	5-10	22-30	Marketing Hardgoods Manufacturer	$24					Salt Lake City UT	?	Yes	No	Never	No	White	Male	
7/24/2020 9:32:14	Full Time	5-10	22-30	Climbing Gym Employee (Management)	36					NYC	dunno	No	Yes	No	Racism, Sexism, Homophobia	White	Male	
7/24/2020 9:43:00	Technically part time  but basically pulling  full-time hours without  the pay	1-3	30-40	Climbing Instructor (for Adults)	11.00 usd	Climbing Gym Employee (Front Desk)	9.25	Gym Employed Routesetter	8.75	USA, Pennsylvania, Ephrata	7 .25	No	No	Mainly ladders and poor wall design	Racism	Black, Hispanic	Male	Setting is INCREDIBLY underrated for the work that goes into it and the knowledge base we need to have
7/24/2020 12:20:34	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	10.25	student				Raleigh NC	7	No	Yes	it gets busy some times.	No	White	Prefer not to say	
7/24/2020 12:53:01	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	$10	Climbing Instructor (for Children)	10			Morrisville NC	Morrisville NC	No	Yes	No	No	White	Female	This is WAY better than restaurant jobs.
7/24/2020 13:32:28	Full Time	3-5	22-30	Climbing Gym Employee (Front Desk)	13.5	Gym Employed Routesetter	13.5	Freelance Climbing Personal Trainer/Coach	35	Tulsa, Oklahoma	7.5	No	No	sometimes yes. 	No	Hispanic	Male	One of the biggest things is having paid time off for full time employees. It is stressful playing catchup with your hours if you're  planning to do a trip or are sick. I wish there was some capacity of paid leave or sick pay. Also I would love for 1.5 pay on  holidays that require employers to do so.  
7/24/2020 13:41:24	Full Time	1-3	30-40	Gym Employed Routesetter	22					New York 	11.8	Yes	No	No	Racism	Hispanic	Male	
7/24/2020 13:51:00	Part Time	1-3	18-22	Gym Employed Routesetter	USD$11					United States/Pennsylvania/Lititz	7.25	No	No	Yes	Sexism, Age discrimination 	White	Male	I’m Head Setter at my gym, and I know that the previous head setter had the same starting experience as me, but learned  she was started $3 an hour more than me after talking with her about salary. Our gym is operated by a larger recreational  center where the higher ups try everything in their power to take advantage of everyone’s time and willingness to help. I try  to advocate for paying our setters, but they will only offer guest passes or memberships to they gym in exchange for all our  setters hard work. 
7/24/2020 13:56:20	Full Time	1-3	18-22	Maintenance/front desk 50/50 split 	14.50? I can’t remember 	Climbing Gym Employee (Front Desk)	14.5			USA VA Arlington/dc area	10.50?	Yes	No	No. All unsafe would be user error	Racism, Sexism	Indigenous	Male	The sexism experienced wasn’t mine, but it’s been witnessed many times.
7/24/2020 16:27:46	Full Time	1-3	22-30	Climbing Gym Employee (Management)	13.5					USA/TN/Nashville 	7.25	Yes	No	No	No	White	Female	
7/24/2020 17:43:37	Part Time	10+	30-40	Climbing Gym Employee (Front Desk)	USD$15					USA/CA	USD$15	No	Yes	No	No	Asian	Male	
7/24/2020 21:36:51	Part Time	5-10	22-30	Climbing Gym Employee (Management)	$12.20					Maryland Heights, MO, USA	$9.45	No	No	There are not enough staff to adequately cover all areas of the gym through most of the day. Staff are frequently under-trained and there is very little follow through from upper management about training. 	Racism, Sexism, Homophobia, Transphobia	White	Female	Staff are told that even though they qualify for raises, the raise cannot be given because there isn't enough money for  payroll. Upper management often don't stay for more than 2 years because they don't receive fair compensation for  the amount of work put into the job and are told to either have the same opinion as the owner or have no opinion at all.  All staff, regardless of position, are forced as a condition of employment to sign that they will not discuss their wages with  other staff and that they will not intentionally or unintentionally create dissonance within the staff.
7/24/2020 22:26:58	Full Time	3-5	22-30	Gym Employed Routesetter	USD$15					USA, Illinois, Glendale Heights	$8.75	Not Sure	Yes	No	Sexism	White	Male	
7/24/2020 23:25:39	Part Time	0-1	22-30	Cleaner	13	Climbing Gym Employee (Front Desk)	13			USA/Minnesota/St.Paul	15	No	No	Yes	Racism, Sexism, Transphobia	Hispanic	Non Binary	Profits over community. The gym I work for monopolized the Midwest but when threatened by another gym who is  community driven, instead of changing anything they told staff “to do better” when the reality is we are constantly shut  down by upper management due to “financial constraints”
7/25/2020 13:48:57	Full Time	1-3	30-40	Climbing Gym Employee (Management)	16.35					USA, VA, Richmond	7.25	Yes	Yes	I've never felt unsafe at work.	No	White	Male	I feel the gym I'm in gives reasonable compensation for full time staff members. They are offered benefits, PTO, and a  livable wage. There's no way anyone could make ends meet as a part time employee.  I haven't experienced any discrimination on my end, but I'm a white, cis, straight, able bodied, man. I've seen opportunities  presented to LGBTQ, female, and non white employees, but I cannot speak on any discrimination they have faced. There is  not strong BIPOC representation on our staff.
7/25/2020 14:03:40	Part Time	3-5	22-30	Climbing Team Coach	$16	Warehouse Manager	18.25			Bay Area, CA	$15.59	No	No	No	Sexism, Ableism	White	Non Binary	
7/25/2020 15:55:56	Full Time	5-10	22-30	Gym Employed Routesetter	65,000					New York	15	Yes	Generally, yes. 	No	Nothing directly towards me, but there has been indirect and underlying issues at past gyms, including less chances for certain groups of people. 	White	Male	
7/26/2020 4:09:29	Part Time	0-1	22-30	Gym Employed Routesetter	10.50€	Climbing Gym Employee (Front Desk)	10.5			Germany 	9.41	No	Yes	No	No	Asian	Male	
7/27/2020 7:38:51	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	10	Retail	14	Photographer	100	USA/VA/Sterling	7.25	No	No	Yes, especially with COVID	No	Hispanic, White	Male	
7/27/2020 8:03:06	Full Time	10+	30-40	Gym Employed Routesetter	20	Gym Employed Climbing Personal Trainer/Coach	20	Climbing Gym Employee (Management)	20	USA/NM/Albuquerque	9.35	No	No	Yes	Verbal	White	Male	
7/27/2020 8:39:10	Part Time	1-3	18-22	Climbing Team Coach	USD$11	Gym Employed Routesetter	11			USA/NC/RALEIGH	8.25	No	No	Yes, primarily safety concerning corona virus	Racism, Sexism, Homophobia, I personally haven't been victim because I am a CIS white male, but people who make these kinds of comments are more likely to "share" said thoughts with me because of that.	White	Male	I feel like commercial climbing gyms exploit people with a passion for the sport by paying them lower, because if this is  the job they really want, many of us will still do it at a lower price, and owners know this. 
7/27/2020 9:01:43	Full Time	3-5	30-40	Climbing Team Coach	$35,000/annual					Midwest	8.5	Yes	Yes	No	Sexism, Sexual harassment	White	Female	
7/27/2020 10:42:33	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	$10	Climbing Instructor (for Children)	9	Camp Counselor	$10	USA/VA/Sterling	7.25	No	Yes	No	No	White	Female	
7/27/2020 10:44:13	Used to, part-time for ~2years	1-3	30-40	Climbing Gym Employee (Front Desk)	14.75	Climbing Instructor (for Children)	35			Chicago, IL USA	Now it’s 15 I think	No	No	No	No	Hispanic	Male	
7/27/2020 14:42:18	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	12.5	Gym Employed Climbing Personal Trainer/Coach	30			Durham NC	7.25	No	No	No	Racism, Not towards me personally but our community is surrounded by primarily POC and the high barrier of entry makes it nearly impossible for anyone to join	White	Male	
7/27/2020 17:23:58	Part Time	1-3	18-22	Climbing Instructor (for Children)	13	Gym Employed Routesetter		Climbing Gym Employee (Front Desk)	13	UnitedStates/NewYork/Wantagh	13	No	No	Yes	Racism, Sexism	White	Male	
7/27/2020 17:24:06	Part Time	1-3	18-22	Climbing Instructor (for Children)	13	Gym Employed Routesetter		Climbing Gym Employee (Front Desk)	13	UnitedStates/NewYork/Wantagh	13	No	No	Yes	Racism, Sexism	White	Male	
7/27/2020 18:11:36	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	Minimum wage	Climbing Instructor (for Children)	15			New york, melville	15	No	No	Yes	No	White	Male	
7/27/2020 19:17:18	Full Time	10+	22-30	Climbing Gym Employee (Management)	25					Nyc	15	Yes	Yes	Yes	Sexism	White	Female	
7/27/2020 19:26:05	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	$16 (reduced from $18 since COVID)	Gym Employed Routesetter	18	Climbing Instructor (for Children)	$16 (reduced from $18 since COVID)	USA/NY/Queens	$15	No	No	Yes, since coming back to work since COVID, employees were  forced to take a pay cut, were given a lot more responsibilities,  and had to come back to work directly with customers without  a plan for if someone got sick. They’ve since created a plan,  but it’s clear that the facility needed to open to keep the cash  flow going, regardless of how that affects employees.	Sexism	White	Female	Being forced to take a significant paycheck while HQ argues that we’re all taking a pay cut (as they work safely from home)  as an hourly worker barely making above minimum wage is upsetting and terrifying.
7/28/2020 9:54:48	Part Time	3-5	22-30	Gym Employed Routesetter	$12 USD per hour 	Climbing Gym Employee (Front Desk)	12			USA IL Normal 	$10.5 ( I think) 	No	Yes	Climbing is inherently dangerous, therefore working in the  climbing industry (especially the route setting industry) is  also inherently dangerous. 	No	White	Male	The climbing industry is not special or unique. What goes on at climbing gyms happens in most other industries also. 
7/29/2020 17:20:45	Part Time	5-10	22-30	Gym Employed Routesetter	$15 USD	Gym Employed Climbing Personal Trainer/Coach	15	Climbing Instructor (for Children)	$15	Chicago, IL; USA	$14	No	No	Yes	Verbal/emotional abuse by a supervisor.  Have witnessed sexual harassment 	White	Male	Being part of a “family” or “community” is something that gyms try to instill in their employees in hopes we see value  in it and as a form of compensation. This distracts from employees being paid poorly. “We can’t pay you more, but where  else are you going to have a work environment this cool with such great people” sort of thing.
7/29/2020 18:36:36	Part Time	10+	30-40	Head Routesetter	$25/ hour	Climbing Gym Employee (Management)	25			Bay Area, Ca	$15	No	I’m highly paid (for this industry) but deserve more.	Yes, I’m a Routesetter so of course.	No	White	Male	I left my position as Head Routesetter at a mid-sized bouldering gym last year. I started at $17.00/hour as Head Setter,  and worked my way up to $25 after a couple years. I made sure my employees received regular raises and did  everything possible to encourage women and POC to join our setting crew. By the end, we occasionally got close to 50%  women setters, which was my ultimate goal. While Head Setter, we hosted large scale competitions with significant prize  purses and internationally known competitors and generally held our own as a  
7/30/2020 10:20:22	Full Time	5-10	30-40	Climbing Gym Employee (Management)	32					USA, CA, San Francisco	15.59	Yes	Yes	yes	No	Hispanic, White, Biracial	Male	
8/1/2020 21:08:51	Full Time	5-10	30-40	Climbing Gym Employee (Management)	23.26					USA, washington, Tacoma	13.5	No	Yes	Yes	No	White	Male	
8/3/2020 5:47:17	Part Time	1-3	22-30	Gym Employed Routesetter	15.5	belay slave for events	15.5			US/MA/Worcester County 	12.75	No	I don't know 	yes	Sexism	Asian	Female	
8/5/2020 6:57:39	30 hrs a week	1-3	30-40	Climbing Instructor - Adults / Kids + Some Coaching	£9 GBP					Southwest UK	 £8.72 for over 25's	No	No	Not really	No	White	Male	
8/5/2020 20:48:51	Part Time	3-5	18-22	Climbing Gym Employee (Front Desk)	13.5	Climbing Instructor (for Children)	13.5	None		Glastonbury, Connecticut 	About $11 	No	Yes	Not really 	No	White	Female	
8/6/2020 5:11:01	Full Time	1-3	22-30	Freelance Routesetter	200€/day					Germany	9.35€/hour	No	No	Yes	Sexism	White	Male	
8/6/2020 7:12:10	Part Time	5-10	30-40	Gym Employed Routesetter	13,5€	Freelance Routesetter	25			Germany, Hamburg	9,5€	Yes	No	Yes	No	White	Male	
8/7/2020 16:36:21	Part Time	10+	30-40	Climbing Instructor (for Children)	11	Climbing Instructor (for Adults)	11	Climbing Gym Employee (Front Desk)	11	USA/MD/Columbia	$11	If sufficient weekly hours  are reached	No	Yes	Sexism	White	Female	
8/8/2020 13:56:40	Full Time	5-10	22-30	Gym Employed Routesetter	USD$31.00	Climbing Gym Employee (Management)	31			USA/NY/New York	15	Yes	Yes	Some, not often	Sexism	White	Male	
8/9/2020 10:16:20	Full Time	1-3	22-30	Climbing Gym Employee (Management)	USD$20					Massachusetts USA	USD $12.75	Yes	No	No	Sexism	White	Female	
8/11/2020 13:00:58	Full Time	3-5	30-40	Gym Employed Routesetter	$25					Brooklyn, NY	$15	Yes	Paid well for the climbing industry, poorly  for the type of work that route setting is.  Other comparably skilled industries with  similar safety concerns are much better  compensated.	We used to work with fewer safety measures and less safe  equipment, but standards have improved hugely in the last  few years.	Racism, Sexism, Not directed at me, but I have  seen racism and sexism in my workplace.	White	Male	
8/17/2020 8:21:23	Part Time	1-3	22-30	Climbing Instructor (for Children)	PL40	Gym Employed Routesetter	20			Poland Gdańsk 	1800	No	No	No	No	White	Male	
8/19/2020 14:07:09	Part Time	3-5	30-40	Climbing Instructor (for Adults)	USD $13.46	Gym Employed Climbing Personal Trainer/Coach	40			United States/Illinois	14	Part time so N/A	No	No	Sexism	White	Female	
8/20/2020 12:54:28	Full Time	5-10	22-30	Gym Employed Routesetter	13.5	Climbing Gym Employee (Front Desk)	13.5	Gym Employed Climbing Personal Trainer/Coach	13.5	USA/NM/Santa Fe	9.5	No	Yes	Yes. Covid-19. 	No	White	Female	
8/25/2020 17:39:47	Part Time	1-3	18-22	Climbing Gym Employee (Management)	$8.77 USD	Climbing Instructor (for Adults)	8.77	Climbing Gym Employee (Front Desk)	$8.77	USA/ Ohio / Akron	8.77	No	No	only from others. Such as people not looking before dropping holds	No	White	Male	I work at the university level at an intro gym. If you feel the need to exclude my answers please feel free as I am not a  “professional”
8/28/2020 11:25:18	Full Time	3-5	30-40	Gym Employed Routesetter	7.2	None				Brazil/Minas Gerais/Belo Horizonte	194	No	No	No	No	Hispanic	Male	
9/8/2020 17:44:05	Part Time	1-3	18-22	Gym Employed Routesetter	USD$10.50	Climbing Gym Employee (Front Desk)	10.5			Detroit, Michigan, USA	USD$ 9.45	No	Yes	No	Sexism	White	Male	
9/22/2020 13:54:30	Part Time	3-5	22-30	Gym Employed Routesetter	USD $13	Instructor for individuals with special-needs.	14			USA/Arizona	USD $12	No	No	No	No	White	Female	
10/5/2020 22:40:18	Part Time	1-3	18-22	Climbing Gym Employee (Front Desk)	$10					USA	$8.25	No	Yes	no	No	White	Prefer not to say	
10/15/2020 11:25:45	Part Time	1-3	22-30	Gym Employed Routesetter	$14.19 USD	Business Metrics Analyst	28.41	N/A	N/A	Canada	$8.28	No	Yes	Nope	No	White	Male	
10/26/2020 22:04:20	Full Time	3-5	22-30	Gym Employed Routesetter	22					usa/co/louisville	12	Yes	No	yes	No	White	Male	
11/9/2020 17:35:18	Part Time	1-3	22-30	Climbing Team Coach	USD $14.50	Gym Employed Routesetter	11.5	Climbing Instructor (for Adults)	13	Tazwell/Illinois/Peoria	8.25	No	Yes	No	No	White	Male	I dont get stipend for shoes. I run through a pair of la sportiva pythons about every 4-6 months
11/11/2020 18:52:10	Full Time	10+	22-30	Gym Employed Routesetter	$30/hr					Portland/OR/USA	$13.25/hr	Yes	Tricky question with Covid... salary changes are frozen	Yes	Racism, Sexism, Homophobia, Transphobia, Not directly on all accounts	White	Male	
11/13/2020 15:39:45	Full Time	0-1	22-30	Climbing Gym Employee (Front Desk)	$17 USD					USA/WA	$15	Yes	Yes	Yes	No	White	Male	I have not personally experienced any of the -isms or phobic behaviors during my time, but I have witnessed them.
12/11/2020 18:32:51	Part Time	1-3	30-40	Gym Employed Routesetter	CAD$21					Canada/BC/Kelowna	CAD$14.60	No	No	No	No	White	Male	
12/24/2020 17:58:29	Full Time	5-10	22-30	Gym Employed Routesetter	14	Gym Employed Routesetter	0	x	0	indianapolis	8	No	No	yes	Sexism	White	Female	
1/28/2021 15:33:43	Part Time	5-10	22-30	Climbing Gym Employee (Front Desk)	12					United States/MD/Baltimore City	10.1	No	Currently yes. But when it picks up the wages should be higher.	Somewhat	No	Biracial	Male	It is the best job I have ever had and one of the most supportive and loving communities I have ever been apart of. If the way pay were better i would stay indefinitely.
1/29/2021 17:20:26	Part Time	5-10	30-40	Climbing Instructor (for Adults)	$10.50	None	0	None	0	USA, Maryland, Columbia	$10.10	No	No, but I think that has more to say about the industry and less about my employer.	No.	Only from the clientele.	White	Female	
2/4/2021 17:16:54	Full Time	5-10	30-40	Climbing Gym Employee (Management)	21	Sales	21			PRG	13.5	Yes	No	yes	No	White	Male	
3/16/2021 11:09:59	Part Time	1-3	30-40	Gym Employed Routesetter	20 USD					WA	15	No	Yes	Yes. Anytime I go behind the wall, from dust, improper fall protection. 	No	White	Male	
4/27/2021 0:38:43	Full Time	5-10	22-30	Gym Employed Routesetter	16.5	Climbing Gym Employee (Front Desk)	14.5	Gym Employed Climbing Personal Trainer/Coach	14.5	Tacoma 	13.69	No	No	Yeah	No	Asian, White	Female	
4/27/2021 0:38:45	Full Time	5-10	22-30	Gym Employed Routesetter	16.5	Climbing Gym Employee (Front Desk)	14.5	Gym Employed Climbing Personal Trainer/Coach	14.5	Tacoma 	13.69	No	No	Yeah	No	Asian, White	Female	
5/5/2021 23:30:43	Full Time	0-1	22-30	Climbing Hold Production	0	Climbing Gym Employee (Front Desk)	0			MN	15	Yes	Yes	no	No	Asian, White	Male	
5/27/2021 20:30:02	I worked full time for 6 years, left.	5-10	30-40	Climbing Gym Employee (Management)	Started around 30k, moved to 50ish at the time of quitting.	Gym Employed Routesetter	13	Climbing Gym Employee (Front Desk)	$9.00	Louisville, KY	7.95	No	No	Every day on the job.	I'm a straight white man. I saw a lot, I experienced none of it personally	White	Male	
6/13/2021 14:13:30	Part Time	5-10	22-30	Climbing Team Coach	USD$20					USA/New Jersey/Upper Saddle River	$12	No	No	Yes	No	Asian, White	Male	
8/10/2021 21:09:08	Full Time	3-5	22-30	Gym Employed Routesetter	17	Climbing Instructor (for Children)	17	Climbing Gym Employee (Front Desk)	14	Massachusetts	13.5	No	not sure	not sure		Hispanic	Female	
8/25/2021 9:01:40	Part Time	1-3	18-22	Gym Employed Routesetter	11	Climbing Gym Employee (Front Desk)	11	Gym Employed Routesetter	7.25	Indiana	7.25	No	No	Yes, one of the gyms I work at did not provide me with ppe	Sexism	White	Non Binary	
8/31/2021 13:17:54	Full Time	10+	22-30	Gym Employed Routesetter	18$ usd	Hold/volume maintenance	17.25			Minnesota	?	Yes	Yes	Only from other setters doing dumb stuff.	No	White	Male	
9/1/2021 22:08:08	Full Time	5-10	22-30	Gym Employed Routesetter	$15.50	Maintenance	15			USA/Minnesota/Minneapolis	$10.00	Yes	No	Absolutely. 	No	White	Male	In my experience, this industry does a really good job of praying on individuals "psych" for climbing. It's pretty gross. 
9/3/2021 0:29:04	Full Time	5-10	30-40	Climbing Team Coach	19	Freelance Climbing Personal Trainer/Coach	50			Georgia	$7.25	Stipend	No	No	No		Male	
9/17/2021 11:10:40	Part Time	3-5	18-22	Gym Employed Routesetter	USD$10	Climbing Gym Employee (Front Desk)	10	Gym Employed Climbing Personal Trainer/Coach	USD$10	USA Houston Tx 	USD$7.25	No	No	Yes	No	White	Male	
10/15/2021 10:40:55	Full Time	5-10	22-30	Climbing Team Coach	21.63 usd	Climbing Gym Employee (Management)	21.63	Freelance Climbing Personal Trainer/Coach	$40 usd	MA, USA	13.5	$300 stipend/month to buy my own insurance	Compared to other in the industry yes, but this is not sustainable for a long term career	The air quality in the gym is terrible. In route setting, lifting things to heavy for me to handle, going behind the walls to fix spinners 		White	Female	Overall I've had a very good experience working in the climbing industry. I've been well supported by my direct supervisor (gym's gm) who has advocated on my behalf to upper management and is very supportive and flexible. If I didn't have such a good gm things would be much harder. I'm lucky to have a full time, salaried position. I routeset for 3 years and ultimately quit because of injuries and the general wear and tear on my body. Our gym has a hard time retaining good qualified employees because most of the opportunities are part time and pay minimum or just above, so they end up having to find other jobs. If gyms want to retain good employees management needs to figure out how to offer enough work to make a living on. Long term, I will likely eventually leave the climbing industry to work for myself and make more money. 
10/19/2021 9:18:12	Part Time	1-3	22-30	Gym Employed Routesetter	17	Gym Employed Climbing Personal Trainer/Coach	16.5	None	N/A	USA/Illinois/Chicago	15	No	Sometimes	Not really	No	White	Male	
11/16/2021 7:38:21	Full Time	3-5	22-30	Gym Employed Routesetter	73000					NYC 	15	Yes	Somewhat	Yes	No	White	Male	
11/16/2021 8:10:00	Full Time	10+	30-40	Climbing Gym Employee (Management)	$19 CAD	Gym Employed Routesetter	19	Climbing Instructor (for Adults)	19 CAD	Canada	12.95 CAD	Not yet, but coming in 2022	Yes	Yes, but not at this current gym. Previous gym - confined space work without training, work at height without proper equipment, unroped on extension ladders up to 25 ft	Sexism, At a previous job	White	Male	Climbing gym employees are generally underpaid and overworked. I believe this is at least in part due to the high cost of running a climbing gym and the low profit margins. Especially in smaller climbing communities/cities. Staff training is an often overlooked/under applied part of onboarding new employees which leads to staff feeling overworked and overwhelmed and faster staff turnover. More up-front training would increase staff costs in the short term but would mean lower overall staff costs in the long run due to decreased turnover -> could mean higher wages for employees over time
11/16/2021 21:02:30	Full Time	3-5	22-30	Climbing Gym Employee (Management)	$25.50					New York	12.5	Yes	Yes	No	No	Biracial	Female	
11/17/2021 8:27:13	Full Time	5-10	30-40	Climbing Gym Employee (Management)	USD$34.86					New York	12.5	Yes	Yes	No	No	White	Male	
11/24/2021 22:30:23	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	9.5					Atlanta	7.25	No	No	Safety checks and rope burning	Homophobia	Asian	Prefer not to say	
12/3/2021 10:54:36	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	14					DFW	7.5	Not Sure	Yes	Yes	No	White	Male	
1/6/2022 20:00:46	Full Time	10+	30-40	Owner	40					Canada/bc/nanaimo	15	Yes	Yes	No	No	White	Male	
